name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata
CINÉPOLIS,Cinépolis,ChIJ-Q6VCn6O9gcR_ZFoLe5IVzU,AV. PROF. CARLOS CUNHA  1000 - JARACATY  SÃO LUÍS - MA  65076-907  BRASIL,São Luís,,MA,BR,65076-907,-2.5109687,-44.2858788,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINE ARAÚJO,Cine Araújo,ChIJ-T5n2NUElwARBVTTnBi-b4Y,AV. HENRIQUE TERRA  1700 - PORTINHO  CABO FRIO - RJ  28911-320  BRASIL,Cabo Frio,,RJ,BR,28911-320,-22.8742711,-42.0366807,"movie_theater,point_of_interest,establishment",,5,bigquery,
MOVIECOM CINEMAS,Moviecom Cinemas,ChIJ-_li4134zJQR4gEep66joDA,AV. CHARLES SCHNNEIDER  1700 - VILA COSTA  TAUBATÉ - SP  12040-900  BRASIL,Taubaté,,SP,BR,12040-900,-23.0235654,-45.5811401,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI PARKSHOPPING CANOAS,Uci Parkshopping Canoas,ChIJ09RkPBFwGZURpKvkTepjVlE,PARK SHOPPING CANOAS  AV. FARROUPILHA  4545 - LOJA 3004 - MAL. RONDON  CANOAS - RS  92020-475  BRASIL,Canoas,,RS,BR,92020-475,-29.9148746,-51.1655329,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA KINOPLEX,Cinema Kinoplex,ChIJ0U3aGs7VvQAR0__dN_YPKFo,AV. VINTE E OITO DE MARÇO  574 - CENTRO  CAMPOS DOS GOYTACAZES - RJ  28020-740  BRASIL,Campos dos Goytacazes,,RJ,BR,28020-740,-21.770043,-41.3146349,"shopping_mall,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ0UNyTHDBpgARWduEAOs_l1I,RODOVIA FERNÃO DIAS  601  ROD. BR  381 - KM 492 - SÃO JOÃO  ALAGOAS  BRASIL,Betim,,MG,BR,,-19.9625554,-44.1600527,Entertainment,,5,bigquery,
KINOPLEX MADUREIRA,Kinoplex Madureira,ChIJ0VUnfNhimQARPyfH4i7KBo0,ESTR. DO PORTELA  222 - 4º ANDAR LOJA 408 - MADUREIRA  RIO DE JANEIRO - RJ  21351-050  BRASIL,Rio de Janeiro,,RJ,BR,21351-050,-22.870559,-43.3409346,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS PORTO ALEGRE,Cinépolis Porto Alegre,ChIJ0ciugFp4GZURDR_FKjB07qw,AV. JOÃO PESSOA  1831 - 311 - AZENHA  PORTO ALEGRE - RS  90040-001  BRASIL,Porto Alegre,,RS,BR,90040-001,-30.0459767,-51.213726,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS NAÇÕES BAURU,Cinépolis Nações Bauru,ChIJ0zHm_7tnv5QRqbLITmLuifI,R. MARCONDES SALGADO  QUADRA 11 - CHÁCARA DAS FLORES  BAURU - SP  17013-113  BRASIL,Bauru,,SP,BR,17013-113,-22.3160011,-49.0665983,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ1-LydnqR9pQRfXsbWA9GOLg,AV. DAS CATARATAS  3570 - VILA YOLANDA  FOZ DO IGUAÇU - PR  85853-000  BRASIL,Foz do Iguaçu,,PR,BR,85853-000,-25.568924,-54.5583532,Entertainment,,5,bigquery,
MULTIPLEX VIC CENTER,Multiplex Vic Center,ChIJ11SMxxCdyJQR6yHQUik2bnA,AV. SANTA BARBARA - JARDIM SÃO FRANCISCO  SANTA BÁRBARA D'OESTE - SP  13454-005  BRASIL,Santa Bárbara d'Oeste,,SP,BR,13454-005,-22.750322,-47.3743363,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI,Uci,ChIJ13sjVkjamwARhJzZR-n369U,AV. DAS AMÉRICAS  5000 - LOJA 301 - BARRA DA TIJUCA  RIO DE JANEIRO - RJ  22640-102  BRASIL,Rio de Janeiro,,RJ,BR,22640-102,-22.9988673,-43.3601313,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMAXS - PARANA FAMÍLIA,Cinemaxs - Parana Família,ChIJ18QgvzJ17ZQRkcTGygiTaiA,ROD. BR 158 - N90 - JARDIM ISABEL  CAMPO MOURÃO - PR  87309-160  BRASIL,Campo Mourão,,PR,BR,87309-160,-24.0276048,-52.3636345,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA BOURBON COUNTRY - ESPAÇO DE CINEMA,Cinema Bourbon Country - Espaço De Cinema,ChIJ1V1tvp53GZURR48nYOgoj0Q,AV. TÚLIO DE ROSE  80 - PASSO D'AREIA  PORTO ALEGRE - RS  91340-080  BRASIL,Porto Alegre,,RS,BR,91340-080,-30.0219278,-51.1626694,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINESYSTEM CINEMAS,Cinesystem Cinemas,ChIJ1W7_BjfdmwARiBNfOlf6beM,AVENIDA DAS AMÉRICAS  15500 AMÉRICAS SHOPPING - RECREIO DOS BANDEIRANTES  RIO DE JANEIRO - RJ  22790-702  BRASIL,Rio de Janeiro,,RJ,BR,22790-702,-23.0124182,-43.4620497,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINELASER,Cinelaser,ChIJ1coWk1T6DwcR3cH8F_y6Tus,AV. JOSÉ AMÂNCIO BPO.  5419 - MIGUEL TELES DE MENDONÇA  ITABAIANA - SE  49505-900  BRASIL,Itabaiana,,SE,BR,49505-900,-10.7077258,-37.4243085,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS RIOMAR FORTALEZA,Cinépolis Riomar Fortaleza,ChIJ2a-a0C1GxwcRyrcHe-5Q4NY,R. DES. LAURO NOGUEIRA  1355 - PAPICU  FORTALEZA - CE  60175-055  BRASIL,Fortaleza,,CE,BR,60175-055,-3.7417109,-38.4718497,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMARK,Cinemark,ChIJ2buzARAWuAARX4XXMzh3zm4,AV. LUCIANO DAS NEVES  2418 - DIVINO ESPÍRITO SANTO  VILA VELHA - ES  29107-022  BRASIL,Vila Velha,,ES,BR,29107-022,-20.3505778,-40.2982976,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ2ws1yaE4J5URXsOJjm03eSk,SC-401  3116 ÁREA 2  ROD. VIRGÍLIO VÁRZEA  587 - LOJA 283 - SACO GRANDE  FLORIANÓPOLIS - SC  88032-005  BRASIL,Florianópolis,,SC,BR,88032-005,-27.5543014,-48.4977328,Entertainment,,5,bigquery,
PRUDENSHOPPING,Prudenshopping,ChIJ356Dyz30k5QR3b0mxV2HOEk,AV. MANOEL GOULART  2400 - JARDIM DAS ROSAS  PRES. PRUDENTE - SP  19060-000  BRASIL,Presidente Prudente,,SP,BR,19060-000,-22.116046,-51.4070481,"shopping_mall,movie_theater,department_store,bank,clothing_store,finance,restaurant,food,store,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS SÃO PELEGRINO,Cinépolis São Pelegrino,ChIJ3RAZgnO-HpURn9NL62Ywr-Q,SHOPPING SAN PELEGRINO BOURBON  AV. RIO BRANCO  425 - SÃO PELEGRINO  CAXIAS DO SUL - RS  95013-090  BRASIL,Caxias do Sul,,RS,BR,95013-090,-29.171339,-51.1907654,"movie_theater,point_of_interest,establishment",,5,bigquery,
KINOPLEX AMAZONAS SHOPPING,Kinoplex Amazonas Shopping,ChIJ3wnSLKYabJIR8blwRyC5dNs,AV. DJALMA BATISTA  482 - LOJA 223/224 - CHAPADA  MANAUS - AM  69050-902  BRASIL,Manaus,,AM,BR,69050-902,-3.0943478,-60.0226791,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINESYSTEM,Cinesystem,ChIJ40J7gH9GAQcRn83Ndizj0ag,AV. COMENDADOR GUSTAVO PAIVA  5945 - STORE 3032 - CRUZ DAS ALMAS  MACEIÓ - AL  57038-000  BRASIL,Maceió,,AL,BR,57038-000,-9.6264458,-35.6988754,"movie_theater,point_of_interest,establishment",,5,bigquery,
SHOPPING IGUATEMI CAMPINAS,Shopping Iguatemi Campinas,ChIJ4Wxq0XPPyJQR4RvPLfbSyfY,AV. IGUATEMI  777 - VILA BRANDINA  CAMPINAS - SP  13092-902  BRASIL,Campinas,,SP,BR,13092-902,-22.8926428,-47.0272676,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
DOURADO CAIS DAS ARTES,Dourado Cais Das Artes,ChIJ4XBresQXuAARqly3ms3GKHA,R. COMISSÁRIO OCTÁVIO QUEIROZ  40 - JARDIM DA PENHA  VITÓRIA - ES  29060-270  BRAZIL,Vitória,,ES,BR,29060-270,-20.2817379,-40.3013839,"movie_theater,gym,night_club,bar,health,point_of_interest,establishment",,5,bigquery,
KINOPLEX AVENIDA,Kinoplex Avenida,ChIJ4w8svTnUvQARlejSnrR1LQI,AV. VINTE E OITO DE MARÇO  574 - PARQUE AVENIDA PELINCA  CAMPOS DOS GOYTACAZES - RJ  28010-280  BRASIL,Campos dos Goytacazes,,RJ,BR,28010-280,-21.7638188,-41.3329562,"movie_theater,point_of_interest,establishment",,5,bigquery,
SOBRAL NERD | CINEMA - SÉRIES - QUADRINHOS E GAMES,Sobral Nerd | Cinema - Séries - Quadrinhos E Games,ChIJ5-FJRhzH6gcR-bK0DZ9hkHE,R. CORDEIRO DE ANDRADE - CENTRO  SOBRAL - CE  62010-400  BRAZIL,Sobral,,CE,BR,62010-400,-3.6908769,-40.3464018,"point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ5-kWM0sZ4JQRT0MBYnRRCPk,RODOVIA BR-282  KM 216 S/N LAGES GARDEN SHOPPING LUC 120/ BAIRRO GUARUJÁ - VILA MARIZA  LAGES - SC  88524-900  BRASIL,Lages,,SC,BR,88524-900,-27.793139,-50.2836671,Entertainment,,5,bigquery,
CINESYSTEM CINEMAS,Cinesystem Cinemas,ChIJ53cWkREWqwcRhApdQ-vR_eQ,TRAVESSA PADRE MACHADO  15  KM 16 5  Nº242 PAULISTA NORTH WAY SHOPPING - CENTRO  PAULISTA - PE  53401-445  BRASIL,Paulista,,PE,BR,53401-445,-7.938053,-34.8775383,"movie_theater,point_of_interest,establishment",,5,bigquery,
BOURBON SHOPPING COUNTRY,Bourbon Shopping Country,ChIJ5anMuJ53GZUR_jQT9gvk7Z8,AV. TÚLIO DE ROSE  80 - PASSO D'AREIA  PORTO ALEGRE - RS  91340-110  BRASIL,Porto Alegre,,RS,BR,91340-110,-30.0218087,-51.1625287,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ5eAm0JHJzpQRREKSPAXmLyw,RODOVIA ALKINDAR MONTEIRO JUNQUEIRA  S/N - KM 1013 01 - CAMPO NOVO  BRAGANÇA PAULISTA - SP  12918-900  BRASIL,Bragança Paulista,,SP,BR,12918-900,-22.970071,-46.568183,Entertainment,,5,bigquery,
DJOLTROMUNDO,Djoltromundo,ChIJ6RmtmBCdEwcRspP68lsK1Mo,R. EUCLIDES DA CUNHA  76 - CENTRO  CONCEIÇÃO DO COITÉ - BA  48730-000  BRASIL,Conceição do Coité,,BA,BR,48730-000,-11.5655952,-39.2812689,"movie_theater,bar,store,restaurant,food,point_of_interest,establishment",,5,bigquery,
KINOPLEX PRAIA DA COSTA,Kinoplex Praia Da Costa,ChIJ6Wc7C0AWuAAR36HUJtRmSRI,L3 RUA DR. OLIVIO RUA JOAQUIM LIRA  353 - PRAIA DA COSTA  VILA VELHA - ES  29100-450  BRASIL,Vila Velha,,ES,BR,29100-450,-20.342062,-40.2882385,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI KINOPLEX SHOPPING TACARUNA,Uci Kinoplex Shopping Tacaruna,ChIJ6_hYqvQYqwcRxDoncJGmJmA,SHOPPING TACARUNA  AV. GOV. AGAMENON MAGALHÃES  153 - SANTO AMARO  RECIFE - PE  50110-000  BRASIL,Recife,,PE,BR,50110-000,-8.037868,-34.871842,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINE PRAIA GRANDE,Cine Praia Grande,ChIJ6ztxBt2O9gcRg9nxjZbE4bQ,LADEIRA DO COMÉRCIO  200 - PRAIA GRANDE  SÃO LUÍS - MA  65010-490  BRASIL,São Luís,,MA,BR,65010-490,-2.5296877,-44.3065993,"movie_theater,point_of_interest,establishment",,5,bigquery,
KINOPLEX TIJUCA,Kinoplex Tijuca,ChIJ7V5_ZVx-mQAR3cmAWQLA0sA,AV. MARACANÃ  987 - TIJUCA  RIO DE JANEIRO - RJ  20511-000  BRASIL,Rio de Janeiro,,RJ,BR,20511-000,-22.9219505,-43.2351597,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS,Cinépolis,ChIJ7_EGoLhXzpQR-5JA87LaFw4,VILA OLÍMPIA  SÃO PAULO - SP  04543-011  BRASIL,São Paulo,,SP,BR,04543-011,-23.5915405,-46.6892899,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS - SHOPPING JARDIM ORIENTE,Cinépolis - Shopping Jardim Oriente,ChIJ7aZ1BRFLzJQRm5ABm_SndGs,R. ANDORRA  500 - JARDIM AMERICA  SÃO JOSÉ DOS CAMPOS - SP  12235-050  BRASIL,São José dos Campos,,SP,BR,12235-050,-23.2367624,-45.8969167,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEFLIX JK SHOPPING BRASILIA,Cineflix Jk Shopping Brasilia,ChIJ7eaJ17jMW5MRLxAcPslX8Ks,AREA ESPECIAL 01 QNM 34 - TAGUATINGA  BRASÍLIA - DF  72145-450  BRASIL,Brasília,,DF,BR,72145-450,-15.8089245,-48.0938546,"movie_theater,point_of_interest,establishment",,5,bigquery,
KINOPLEX NOVA IGUAÇU,Kinoplex Nova Iguaçu,ChIJ7fxXPW1nmQARfVSoeb0cMXM,AV. ABÍLIO AUGUSTO TÁVORA  1111 - 5001 - JARDIM ALVORADA  NOVA IGUAÇU - RJ  26265-090  BRASIL,Nova Iguaçu,,RJ,BR,26265-090,-22.7629719,-43.4651944,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ88EajH7ZmwARxTifZUuzjiE,AV. EMBAIXADOR ABELARDO BUENO  1300 - JACAREPAGUÁ  RIO DE JANEIRO - RJ  22775-039  BRASIL,Rio de Janeiro,,RJ,BR,22775-039,-22.9714774,-43.3719669,Entertainment,,5,bigquery,
MAXI SHOPPING,Maxi Shopping,ChIJ8WXRH2Umz5QRtGUOFhAQU8Q,AV. ANTONIO FREDERICO OZANAM  6000 - VILA RIO BRANCO  JUNDIAÍ - SP  13215-900  BRASIL,Jundiaí,,SP,BR,13215-900,-23.1697053,-46.892245,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
MOVIECOM X CINEMA PÁTEO ITAQUÁ,Moviecom X Cinema Páteo Itaquá,ChIJ8ffyeVt7zpQRKGWz-lBHIuE,AV. ITALO ADAMI  1.809 - VILA ZEFERINA  ITAQUAQUECETUBA - SP  08574-020  BRASIL,Itaquaquecetuba,,SP,BR,08574-020,-23.4957292,-46.3477758,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA SHOPPING,Cinema Shopping,ChIJ8xyVcaa9yJQRoMYFhAq1f44,PARQUE HONGARO  SUMARÉ - SP  13170-023  BRASIL,Sumaré,,SP,BR,13170-023,-22.8316339,-47.2660938,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINESYSTEM CINEMAS,Cinesystem Cinemas,ChIJ92AsF7iKpJIRHEhz6iz4pow,ROD. BR 316  4.500 KM 04 LOJA 401A PISO L4 - COQUEIRO  PA  67113-970  BRASIL,Ananindeua,,PA,BR,67113-970,-1.3847669,-48.4096783,"movie_theater,point_of_interest,establishment",,5,bigquery,
KINOPLEX LEBLON GLOBOPLAY,Kinoplex Leblon Globoplay,ChIJ97M0P6zVmwAR3qAsL0BQSj4,AV. ATAULFO DE PAIVA  391 - LOJA B - LEBLON  RIO DE JANEIRO - RJ  22440-032  BRASIL,Rio de Janeiro,,RJ,BR,22440-032,-22.9840964,-43.2197055,"movie_theater,point_of_interest,establishment",,5,bigquery,
CENTERPLEX CINEMAS,Centerplex Cinemas,ChIJ97ZWK2azGgcRHt2SOTzc8Mc,AV. JOÃO RODRIGUES  42 - INDUSTRIAL  ARACAJU - SE  49065-450  BRASIL,Aracaju,,SE,BR,49065-450,-10.9018351,-37.0500402,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI ORIENT SHOPPING BARRA,Uci Orient Shopping Barra,ChIJ9S7ECHkDFgcRYh7PqY6DtZQ,SHOPPING CENTER BARRA  AV. CENTENÁRIO  2992 - CHAME-CHAME  SALVADOR - BA  40140-400  BRASIL,Salvador,,BA,BR,40140-400,-13.006133,-38.5240058,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI,Uci,ChIJ9TjJ2zOO9gcRD9EIEhAEavY,AV. DANIEL DE LA TOUCHE  987 - COHAMA  SÃO LUÍS - MA  65074-115  BRASIL,São Luís,,MA,BR,65074-115,-2.5269965,-44.2553565,"movie_theater,point_of_interest,establishment",,5,bigquery,
MAG SHOPPING,Mag Shopping,ChIJ9UCLEw7drAcRhuO_KhUP7qM,AV. GOV. FLÁVIO RIBEIRO COUTINHO  115 - MANAÍRA  JOÃO PESSOA - PB  58037-000  BRASIL,João Pessoa,,PB,BR,58037-000,-7.0977493,-34.8344525,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS,Cinépolis,ChIJ9z-BQiACz5QRBjyyUFTYYqQ,AL. RIO NEGRO  111 - ALPHAVILLE INDUSTRIAL  BARUERI - SP  06455-000  BRASIL,Barueri,,SP,BR,06455-000,-23.5043282,-46.8486345,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMARK,Cinemark,ChIJ9zam0oRfzpQRyIlXrIBnnxU,ROD. PRES. DUTRA-PISTA LATERAL  225 - VILA ITAPEGICA  GUARULHOS - SP  07042-040  BRASIL,Guarulhos,,SP,BR,07042-040,-23.4896439,-46.5487479,"movie_theater,point_of_interest,establishment",,5,bigquery,
CHAPLIN - CINEMA MUSIC BAR,Chaplin - Cinema Music Bar,ChIJA-l91oU5jgcRrcbuTAGV1vU,"AV. UNIVERSITÁRIA, 890 - FÁTIMA, TERESINA - PI, 64049-494",Teresina,,PI,BR,64049-494,-5.0628366,-42.7952336,bar,,5,bigquery,
CINEMA MULTIPLEX ITATIBA MALL,Cinema Multiplex Itatiba Mall,ChIJAQBwHMAqz5QRu3SJ-8RE6jI,AV. PREF. JOSÉ MAURÍCIO DE CAMARGO  400 - JARDIM NOSSA SRA. DAS GRACAS  ITATIBA - SP  13257-410  BRASIL,Itatiba,,SP,BR,13257-410,-22.9905265,-46.844728,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINE MAX CANOINHAS,Cine Max Canoinhas,ChIJAQDAiIAN55QRTlBs1_Dau20,ANEXO AO SUPERMERCADO QUELUZ  R. CEL. ALBUQUERQUE  633 - CENTRO  CANOINHAS - SC  89460-056  BRASIL,Canoinhas,,SC,BR,89460-056,-26.1740153,-50.3923206,"movie_theater,point_of_interest,establishment",,5,bigquery,
CENTERPLEX MAGSHOPPING,Centerplex Magshopping,ChIJAbXdcw7drAcRW1lFqbC87eU,MAG SHOPPING  AV. GOV. FLÁVIO RIBEIRO COUTINHO  115 - MANAÍRA  JOÃO PESSOA - PB  58037-972  BRASIL,João Pessoa,,PB,BR,58037-972,-7.0974488,-34.8336067,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINESHOW,Cineshow,ChIJAxMtuRY4J5URMrMZMYVqrp0,BEIRAMAR SHOPPING - R. BOCAIÚVA  2468 - 1002 - CENTRO  FLORIANÓPOLIS - SC  88015-530  BRASIL,Florianópolis,,SC,BR,88015-530,-27.5848198,-48.5449371,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJB_BRMDsfqwcRTdR3JMStxPI,AV. REPÚBLICA DO LÍBANO  251 - S/NLOJA 4001 - PINA  RECIFE - PE  51110-160  BRASIL,Recife,,PE,BR,51110-160,-8.086693,-34.8945,Entertainment,,5,bigquery,
CINE ARAÚJO VOLTA REDONDA,Cine Araújo Volta Redonda,ChIJB_n6TBWjngARZ3NCMr0GjKo,ROD. DOS METALÚRGICOS  1189 - SÃO GERALDO  VOLTA REDONDA - RJ  03178-200  BRASIL,Volta Redonda,,RJ,BR,03178-200,-22.5219277,-44.0783293,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMARK - SHOPPING PÁTIO PAULISTA,Cinemark - Shopping Pátio Paulista,ChIJBdwnfL1ZzpQRDh2Rc8yytDY,RUA TREZE DE MAIO  1947 ARCO N 501 - PARAÍSO  BELA VISTA - SP  17630-000  BRASIL,São Paulo,,SP,BR,17630-000,-23.5705529,-46.6435248,"movie_theater,point_of_interest,establishment",,5,bigquery,
PALÁCIO DAS ARTES,Palácio Das Artes,ChIJBzw2c8KZpgARY74EPRA9fUw,AV. AFONSO PENA  1537 - CENTRO  BELO HORIZONTE - MG  30130-004  BRASIL,Belo Horizonte,,MG,BR,30130-004,-19.9256601,-43.933517,"tourist_attraction,art_gallery,movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS CONTINENTE PARK,Cinépolis Continente Park,ChIJC-nvB-U1J5UR6JrKs3C23TE,RODOVIA BR 101 KM210 S/N ÁREA  1  SC  88104-801  BRASIL,São José,,SC,BR,88104-801,-27.6151681,-48.6469483,"movie_theater,point_of_interest,establishment",,5,bigquery,
SÃO JOSÉ VILA GOURMET,São José Vila Gourmet,ChIJC77PfcqvQAcRpe-ikaCvdCk,R. BRG. SÁ BITTENCOURT  360 - JEQUIEZINHO  JEQUIÉ - BA  45206-290  BRASIL,Jequié,,BA,BR,45206-290,-13.8674365,-40.0715938,"restaurant,bakery,movie_theater,storage,store,food,point_of_interest,establishment",,5,bigquery,
MAGNÓLIA RESTAURANTE BAR E CINEMA,Magnólia Restaurante Bar E Cinema,ChIJC8gpG7EtGZURAg9W8PGpy4s,"RUA DONA CARLINDA, 255 - CENTRO, CANELA - RS, 95680-000",Canela,,RS,BR,95680-000,-29.360572,-50.8110251,food,,5,bigquery,
CINÉPOLIS NORTE SUL PLAZA,Cinépolis Norte Sul Plaza,ChIJC8jEzA3mhpQRbgWMKgk6gSk,NORTE SUL PLAZA SHOPPING  AV. PRES. ERNESTO GEISEL  2300 - JARDIM JOQUEI CLUB  CAMPO GRANDE - MS  79080-105  BRASIL,Campo Grande,,MS,BR,79080-105,-20.4800758,-54.626622,"movie_theater,point_of_interest,establishment",,5,bigquery,
CAPIM DOURADO SHOPPING,Capim Dourado Shopping,ChIJCXNQqLzLJJMRQYgThVcwAzc,Q. 107 NORTE AVENIDA NS 5  S/N - PLANO DIRETOR NORTE  PALMAS - TO  77001-098  BRASIL,Palmas,,TO,BR,77001-098,-10.1829168,-48.3482201,"shopping_mall,post_office,movie_theater,police,food,point_of_interest,bank,finance,establishment",,5,bigquery,
CINESYSTEM CINEMAS,Cinesystem Cinemas,ChIJCZXZJc2bEZUR2gUF65PFWH4,R. JOCKEY CLUBE  155 - VILA SAO MIGUEL  RIO GRANDE - RS  96212-730  BRASIL,Rio Grande,,RS,BR,96212-730,-32.0523334,-52.1484761,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEFLIX SHOPPING BOTUCATU,Cineflix Shopping Botucatu,ChIJCf8kVybfxpQR0iAOTb2aqNk,SHOPPING BOTUCATU AVENIDA MARGINAL DUZENTOS  1050 - VILA REAL  BOTUCATU - SP  18606-294  BRASIL,Botucatu,,SP,BR,18606-294,-22.9152671,-48.4644354,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA SÃO LUIZ,Cinema São Luiz,ChIJCyC42LgYqwcRcDWll-BtyzY,R. DA AURORA  175 - BOA VISTA  RECIFE - PE  50050-000  BRASIL,Recife,,PE,BR,50050-000,-8.0622538,-34.8819341,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINECARIOCA MÉIER,Cinecarioca Méier,ChIJCzEU26R9mQARZAb9Yx0vAUk,R. DIAS DA CRUZ  170 - MÉIER  RIO DE JANEIRO - RJ  20720-012  BRASIL,Rio de Janeiro,,RJ,BR,20720-012,-22.9025545,-43.2820679,"movie_theater,point_of_interest,establishment",,5,bigquery,
CONCHA ACÚSTICA DO MUSEU,Concha Acústica Do Museu,ChIJD6m7wP5izJQRou5zrWBVFYo,12460-000  CAMPOS DO JORDÃO - SP  BRAZIL,Campos do Jordão,,SP,BR,12460-000,-22.7424436,-45.6346577,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS,Cinépolis,ChIJD7G-yVoe35QRhQGf_rlESSI,RODOVIA BR 470  3000 - SALA COMERCIAL 49 A 54 - SALTO NORTE  BLUMENAU - SC  89065-800  BRASIL,Blumenau,,SC,BR,89065-800,-26.8639526,-49.0939104,"movie_theater,point_of_interest,establishment",,5,bigquery,
BOULEVARD SHOPPING BELO HORIZONTE,Boulevard Shopping Belo Horizonte,ChIJD9ag9IOZpgAR6vZX26nqLJ0,AV. DOS ANDRADAS  3000 - SANTA EFIGÊNIA  BELO HORIZONTE - MG  30260-070  BRASIL,Belo Horizonte,,MG,BR,30260-070,-19.9206819,-43.9201173,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS MANAÍRA,Cinépolis Manaíra,ChIJDYRjwm3drAcRdcB5OOtNO-w,MANAÍRA SHOPPING  AV. GOV. FLÁVIO RIBEIRO COUTINHO  805 - MANAÍRA  JOÃO PESSOA - PB  58037-900  BRASIL,João Pessoa,,PB,BR,58037-900,-7.0986549,-34.8444959,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINESYSTEM,Cinesystem,ChIJDc0gQOxE65QR_lBNEiXtfj0,R. AMÉRICO DEOLINDO GARLA  224 - PACAEMBU  LONDRINA - PR  86079-225  BRASIL,Londrina,,PR,BR,86079-225,-23.2868071,-51.1516321,"movie_theater,point_of_interest,establishment",,5,bigquery,
SHOPPING RIOMAR FORTALEZA,Shopping Riomar Fortaleza,ChIJE4p28jFGxwcRA44wuYTz488,R. DES. LAURO NOGUEIRA  1500 - PAPICU  FORTALEZA - CE  60175-055  BRASIL,Fortaleza,,CE,BR,60175-055,-3.7413915,-38.4723335,"shopping_mall,movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJET9iBo8tWpMRpCP80CGhctg,QS 1  40 - TAGUATINGA  BRASÍLIA - DF  71950-904  BRASIL,Brasília,,DF,BR,71950-904,-15.8406206,-48.0426835,Entertainment,,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJEWKCYcXj3JQRDnMWnEHRJ-0,RUA PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA  600 PISO SUPERIOR - MOSSUNGUÊ  CURITIBA - PR  81200-100  BRASIL,Curitiba,,PR,BR,81200-100,-25.4346705,-49.3158037,Entertainment,,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJEft3Amw1zJQRtOm7-9Jifi4,AV. DEP. BENEDITO MATARAZZO  9403 - LJ. T 114 - JARDIM OSWALDO CRUZ  SÃO JOSÉ DOS CAMPOS - SP  12215-900  BRASIL,São José dos Campos,,SP,BR,12215-900,-23.1997222,-45.8827778,Entertainment,,5,bigquery,
